Title,Category
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Social Proof
 Sign In With Google ,Not Dark Pattern
Shop All,Not Dark Pattern
 You can change your preference here Shop for loved ones Select an age,Not Dark Pattern
 shop all ,Not Dark Pattern
Low Stock Alert: Only 8 left in inventory,Scarcity
Womens Platform Shoes,Not Dark Pattern
Screen print graphics,Not Dark Pattern
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton MD US 1 minute ago",Social Proof
Thin and tough - protects from minor scratches,Not Dark Pattern
Kimberly R.,Not Dark Pattern
I don't feel lucky today,Misdirection
"Someone in Saint Kilda Victoria purchased Frank Queen Size Bed Base",Social Proof
Awntech New Yorker Window/Entry Slope Awnin ...,Not Dark Pattern
45 customers ADDED this item TO BAG IN THE PAST 24 HOURS,Social Proof
87% offers claimed. Hurry up time is running out or you will miss the chance ,Scarcity
HURRY! £32.99 UK DELIVERY ENDS SOON,Urgency
19 people viewed this product on daily basis,Social Proof
96 ITEM(S) LEFT IN STOCK!,Scarcity
Availability: Only 4 cookers Left!,Scarcity
 Personalised Gifts ,Not Dark Pattern
A customer service specialist will contact you soon.,Not Dark Pattern
Your order is reserved for 09:54 minutes!Order this now to get the best price,Urgency
 Screws & Other Fixings ,Not Dark Pattern
Use the domain shortly after payment,Not Dark Pattern
Office Supplies & Decor,Not Dark Pattern
This particular size has only 1 left in stock,Scarcity
Returns an Item,Not Dark Pattern
HOT PRODUCT Over 250 people are looking at this item.,Social Proof
I don't want to save money,Misdirection
DEAL ENDS IN 40:55. Order it now for best price ,Urgency
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Social Proof
Search for similiar products,Not Dark Pattern
Only 33 left,Scarcity
FAMILY SHADE PACK | PICK YOUR PACK,Not Dark Pattern
Promaster City Remotes,Not Dark Pattern
"Hurry only a few left!",Scarcity
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Not Dark Pattern
Hurry! Only 6 left in stock,Scarcity
40 users are currently active on our website just now.,Social Proof
Hair Tools,Not Dark Pattern
Email Address*,Not Dark Pattern
 Send Us Your Jersey ,Not Dark Pattern
 View All Home Office Furniture ,Not Dark Pattern
Search Result:Search Results: ,Not Dark Pattern
90% offers claimed. Hurry up!,Scarcity
Tube Tops,Not Dark Pattern
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Social Proof
Hair type: Wavy,Not Dark Pattern
7 people looked at this product in the last 24 hours.,Social Proof
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Social Proof
"No I'll  pay full price rather than getting the discounts",Misdirection
Deals of the Week,Not Dark Pattern
" ... It covers love and loss friendship and pain through ",Not Dark Pattern
1 person is viewing this,Social Proof
" Gift TypeFlowers Cakes Plants etc. ",Not Dark Pattern
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,Not Dark Pattern
Fun Treat Tossing,Not Dark Pattern
Limited time remaining! Buy soon to get at best price,Urgency
Your shopping bag is empty...,Not Dark Pattern
Trousers & Chinos,Not Dark Pattern
Pick the price that matches your budget. ,Not Dark Pattern
"Bringing the latest footwear ‘fits and accessories from the biggest brands the JD app makes coppin’ the hottest looks even easier!",Not Dark Pattern
NRA Annual Meetings & Exhibits,Not Dark Pattern
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,Not Dark Pattern
 Moonstone Beads ,Not Dark Pattern
I'll Shop Without A Discount,Misdirection
Was this product description useful?YesNo,Not Dark Pattern
Returns Information,Not Dark Pattern
TiesToys & GamesTravelWatches,Not Dark Pattern
Bought by 39 people in last few hours! HOT SELLER!,Social Proof
Books and Stationery,Not Dark Pattern
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Remaining order soon your product,Urgency
 Bioactive Custodians ,Not Dark Pattern
 Most-Hearted Styles Shop Now ,Not Dark Pattern
 Use a clean vase and clean water.,Not Dark Pattern
" well this is awkward. ",Not Dark Pattern
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done,Social Proof
 All Licensed ,Not Dark Pattern
Discount pending $10 OFF 00:30:00,Urgency
Juniors' Shoes,Not Dark Pattern
Limited Time: $10 Off! Discount Reflected In Price!,Urgency
Switchers,Not Dark Pattern
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,Not Dark Pattern
"By clicking Sign Up you agree to receive marketing text messages from Southern Tide at the number provided including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",Not Dark Pattern
your item is in 43 PEOPLE'S SHOPPING BAG,Social Proof
 Amethyst Beads ,Not Dark Pattern
Down Jackets,Not Dark Pattern
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Urgency
"BERNARD in Philadelphia United States purchased a",Social Proof
"NO THANKS I DON’T MIND MISSING OUT",Misdirection
7 sold in last 24 hours,Social Proof
Buy Wearables»,Not Dark Pattern
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Urgency
 Watercolour Brushes Toggle category Watercolour Brushes ,Not Dark Pattern
LightInTheBox 掲載記事,Not Dark Pattern
Clear filter,Not Dark Pattern
HURRY UP > 09H 42M 39S,Urgency
 Sweats ,Not Dark Pattern
Q: Will this damage my hair?,Not Dark Pattern
Brandon Blackwood,Not Dark Pattern
"Someone in Sasebo Japan just bought",Social Proof
80 Customers are considering this product right now.,Social Proof
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Social Proof
 End Tables,Not Dark Pattern
ONLY 2 LEFT IN STOCK!,Scarcity
Only few items left in stock,Scarcity
" Brilliant! Chose what I wanted and came a week later. Very happy with my purchase ",Not Dark Pattern
71 people have purchased this item in short span of time,Social Proof
"We use cookies to improve our services make personal offers and enhance your experience. If you do not accept optional cookies below your experience may be affected. If you want to know more please read the Cookie Policy",Not Dark Pattern
"Long Dress Style Beach Cover Up With Lace Detail Radhika in Haryana India",Social Proof
"Someone in Kilwinning United Kingdom just bought Cuban Link Chain Bracelet",Social Proof
"00DAYS 00HOURS 14MINUTES 21SECONDS, buy now in limited time,Urgency
"Great prices professional customer services",Not Dark Pattern
Carnival Remotes,Not Dark Pattern
Hurry! Only 1 left in size M!!,Scarcity
Items in your cart are in high demand.,Scarcity
Root Touch Up + Brow Filler ,Not Dark Pattern
" Looks like your cart is empty let's fix that! ",Not Dark Pattern
Over 500 left in stock,Scarcity
Choose your payment day. View your schedule and select pay now.,Not Dark Pattern
Hurry up! 6 people other than you have this product in their cart,Social Proof
 E-Gift Cards ,Not Dark Pattern
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Social Proof
 Personalised Chocolates ,Not Dark Pattern
Shop Dresses by Occasion,Not Dark Pattern
I do not want to protect my item,Misdirection
Add to Your Gift and We'll Ship it For Free!,Misdirection
 Exclusive offers & discounts for club members via email ,Not Dark Pattern
Buy with humm.,Not Dark Pattern
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed Bath & Living ",Not Dark Pattern
Synthesis E-MTB Carbon Wheelset,Not Dark Pattern
"25439 people have viewed this item",Social Proof
No thanks I definitely measured correctly,Misdirection
57 PEOPLE HAVE LOOKED AT THIS TODAY ,Social Proof
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Social Proof
Women's ApparelCollection ,Not Dark Pattern
"Before you check out can we tempt you?",Misdirection
"When you join the PetPlus Plan you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis if you have purchased products or used services using your PetPlus benefits we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",Obstruction
 Frame out of stock in this colour,Not Dark Pattern
Hair Care Sets,Not Dark Pattern
Limited quantity of this product is remaining  ,Scarcity
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern
"128 sold today! Hurry only a few left!",Scarcity
4 people are looking at this right now,Social Proof
"No thanks I don't want a discount,Misdirection
"Someone from Portland United States (US) purchased MODALERT recently.",Social Proof
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Urgency
2 people are viewing this,Social Proof
Patient Transfer Devices,Not Dark Pattern
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,Not Dark Pattern
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Not Dark Pattern
LAST CHANCE TO ACTIVATE 10% OFF,Scarcity
78 Persons looking for this product,Social Proof
 Heart Shaped Cake ,Not Dark Pattern
227 Bought Already,Social Proof
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,Not Dark Pattern
Universal Fit Collapsible Smart Phone Stand,Not Dark Pattern
現代奴隷法に対する透明性に関する声明 (opens in a new tab),Not Dark Pattern
Strong demand! Complete your order before it's too late!,Scarcity
"Sudha rana from Jaipur bought this product 23 Mins ago.",Social Proof
Gift Wrapping Supplies,Not Dark Pattern
6 others have already bought this deal today!,Social Proof
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year for membership rewards and discounts. At the end of the introductory period you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness courtesy and efficiency possible.",Obstruction
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Urgency
 Safe & Secure Checkout ,Not Dark Pattern
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago,Social Proof
"Synne Kristine in Halden bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Social Proof
Wall Mounted Air Conditioners,Not Dark Pattern
"803 Claimed! Hurry only a few left!",Scarcity
"Monira in Doha Qatar purchased a LilyVanity™ Velvet Box",Social Proof
3 PEOPLE VIEWING,Social Proof
"No thanks I’d rather pay full price.",Misdirection
Product Feature,Not Dark Pattern
Plant-based Protein,Not Dark Pattern
Parad Combo Deals ,Not Dark Pattern
Last Shape Guide,Not Dark Pattern
 Baby & Toddler Toys ,Not Dark Pattern
Shipping Insurance Remove Insurance,Sneaking
Clocks ,Not Dark Pattern
 Cat's Eye Beads ,Not Dark Pattern
Shop now. Pay later. Always interest-free,Not Dark Pattern
Stay with us in India,Not Dark Pattern
No thanks. I don’t want deals ,Misdirection
Wyse Thin Client,Not Dark Pattern
AdjustableBucketHeadbandsSale Items- View All -,Not Dark Pattern
 Every bicycle tells a story ,Not Dark Pattern
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service please opt-in. ",Not Dark Pattern
Add and save!,Misdirection
Intercoms & Doorbells,Not Dark Pattern
Boys Purple School Uniforms,Not Dark Pattern
RECENTLY VIEWED 2 others viewed this in the last few hours,Social Proof
2 viewed per hour,Social Proof
1 other customers have this item in their shopping cart,Social Proof
Fashion Forms,Not Dark Pattern
Stock Low : 6 items left.Buy now else you will miss the chance,Scarcity
"NO I'LL PAY FULL PRICE",Misdirection
Terrarium Light Canopies,Not Dark Pattern
"HURRY LOW IN STOCK!",Scarcity
Give your valuable feedback,Not Dark Pattern
2 DAYS 13:06:13,Urgency
Receive news and updates on new products,Not Dark Pattern
5338 people bought this in a short span of time ,Social Proof
 dFresh - Fresh Products ,Not Dark Pattern
Thanks! -RMO Team,Not Dark Pattern
"6743 people have viewed recently",Social Proof
Welcome To Hotter us,Not Dark Pattern
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Urgency
" To enable notifications click 'Allow' when prompted. ",Not Dark Pattern
 PHX Mercury ,Not Dark Pattern
Easy Release Cleat Kit,Not Dark Pattern
111 people have purchased this item ,Social Proof
Flowers Trivia:,Not Dark Pattern
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Urgency
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite Unlimited Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",Sneaking
Celebrity Synthetic Wigs,Not Dark Pattern
1626 people seeing this product right now,Social Proof
"Book picture is for illustrative purposes only actual binding cover or edition may vary.",Not Dark Pattern
Stay Connected,Not Dark Pattern
0 Days 2 Hours 57 Minutes 53 Seconds,Urgency
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Social Proof
Only 34 Left!,Scarcity
"William in Pago Pago United States purchased a",Social Proof
"No thanks I don’t like fun and games.",Misdirection
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages messy TV dinners and other disasters for just just £80?",Misdirection
Explore The NRA Universe Of Websites,Not Dark Pattern
New In Special Occasion,Not Dark Pattern
"› New Year New Kit Sale",Not Dark Pattern
"HURRY ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",Urgency
 Title of Review ,Not Dark Pattern
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Urgency
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,Urgency
Cellular/Honeycomb Shades,Not Dark Pattern
113 people have viewed in the last 24hrs,Social Proof
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark Pattern
"Jamie in Nashville, United States purchased,Social Proof
"Denise in Saluda Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",Social Proof
Don't miss out! We've sold 38 in the last few days.,Social Proof
"No thank you. I prefer to pay the full price",Misdirection
"No Thanks I don't like exclusive deals.",Misdirection
Loading interface...,Not Dark Pattern
 SAF Warriors ,Not Dark Pattern
 Lens Manual Washer ,Not Dark Pattern
"No thanks I'd like 0% off",Misdirection
 Our Carbon Footprint ,Not Dark Pattern
 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,Not Dark Pattern
Uncheck the box if you prefer not to receive email updates.,Misdirection
| Add to Compare,Not Dark Pattern
"No Thanks I Don't Want a Free Gift",Misdirection
This item is in high demand.,Scarcity
Cargo Trousers,Not Dark Pattern
Hair Bundles With Closure,Not Dark Pattern
BreakThrough,Not Dark Pattern
"Our most recent customers are from New Rochelle Roseville and Brooksville",Social Proof
ShopClose menu,Not Dark Pattern
Used Rifles,Not Dark Pattern
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,Misdirection
Hurry! Only 15 left!,Scarcity
 Motocross Boots ,Not Dark Pattern
 Remove Product? ,Not Dark Pattern
 Nursery ,Not Dark Pattern
Footwear Accessories,Not Dark Pattern
Only a few more left!,Scarcity
0011Days:0088Hours:4411Minutes:21125445Seconds,Urgency
and future features included!,Not Dark Pattern
69 people are viewing this right now,Social Proof
Only 4 items left in stock.,Scarcity
Natural Backgrounds,Not Dark Pattern
Speed Lace Accessory Kit - Orange,Not Dark Pattern
"No Thanks I Prefer Paying Full Price",Misdirection
"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",Not Dark Pattern
"Ends in 1 Days 4 Minutes 44 Seconds",Urgency
In Stock - Limited Quantity,Scarcity
on Freight,Not Dark Pattern
Canvas Wall Art,Not Dark Pattern
Only 8 left in stock. Almost Gone!,Scarcity
JFN V Neck Lace Cut-Out Basic T-Shirt/Tee,Not Dark Pattern
or,Not Dark Pattern
 Short Sleeve Dresses ,Not Dark Pattern
"Limited time only: FREE SHIPPING on all orders no minimum required!",Urgency
"No thanks, I don't like promotions and exclusive content.",Misdirection
 Shop All Lehenga Choli ,Not Dark Pattern
Lack Of Color,Not Dark Pattern
 Eye Protection,Not Dark Pattern
 REPLACE-WITH-DYANMIC-HOST-ID,Not Dark Pattern
TVs,Not Dark Pattern
Temporary Tattoos,Not Dark Pattern
3Days01:49:51 Left,Urgency
Log in / Create an account,Not Dark Pattern
Your order is reserved for 07:28 minutes!,Urgency
" is full of sorrow and joy that weaves the life stories of its characters exploring relationships illness and loss * Manchester Weekly News *",Not Dark Pattern
OH SO POPULAR! 21 bought in the last 7 days.,Social Proof
"No Thanks I'll Pay Full Price",Misdirection
Card Storage,Not Dark Pattern
2 customers recently bought it,Social Proof
Only 1 left in stock,Scarcity
Horizon Wide Neck Sweatshirt,Not Dark Pattern
All Womens Accessories,Not Dark Pattern
Only 1 left in stock! Get in quick!,Scarcity
Strip Softbox,Not Dark Pattern
You left 2 items in your bag Released in: 29 minutes :07 seconds,Urgency
Your first payment will be due on the day of your purchase.*,Not Dark Pattern
7 people have it in their cart,Social Proof
Pre-order 3 left,Scarcity
Offer ends in 15hrs 1min 56sec!,Urgency
"Hurry this style is selling fast!",Scarcity
 Glows In The Dark ,Not Dark Pattern
Towel Rails & Racks,Not Dark Pattern
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern
"Hurry, only 3 left!",Scarcity
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,Urgency
Quick Release,Not Dark Pattern
Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.,Not Dark Pattern
"Free Upgrade Limited Time!  DISH Install Not Available*",Urgency
"No thanks I don't like discounts",Misdirection
Going Fast: Limited Quantities Left!,Scarcity
 This is a green tea without the bitterness. ,Not Dark Pattern
Rate & Review ,Not Dark Pattern
"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",Obstruction
Cooper Remotes,Not Dark Pattern
 Mitre Saws ,Not Dark Pattern
Christian Dior,Not Dark Pattern
Share this product,Not Dark Pattern
 Space Heaters & Workshop Heaters ,Not Dark Pattern
Hurry! Only a few of these left,Scarcity
Animals & Action Figures,Not Dark Pattern
 WANNA COLLAB? ,Not Dark Pattern
 PopTop Refine by Product Type: PopTop ,Not Dark Pattern
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency
Earn FanCash on all purchases!,Not Dark Pattern
Bob's Outreach ,Not Dark Pattern
Cleaning Brushes & Tools,Not Dark Pattern
85 more customers have it in their cart ,Social Proof
"If you wish to cancel your subscription you can email us at getflat@flattummyco.com",Obstruction
No thanks. I'd rather pay full price.,Misdirection
Free Embroidery Patterns,Not Dark Pattern
Mixing & Measuring,Not Dark Pattern
"Members may cancel their Membership at any time during their Membership term and receive a full refund less any benefits/savings received in their current Membership term (for example Buyer’s Club Discounts received or free shipping). Refunds for completed years completed will not be made even if the Member did not use any of the benefits during the Membership term. To cancel your membership please contact our customer service department by contacting us at 1-800-375-3006.",Obstruction
"To qualify simply verify your status during checkout on the payment step. We verify through ID.me our trusted technology partner for secure digital identity verification. ",Not Dark Pattern
"no thanks I'll save money another day",Misdirection
"Shopper from Saint John NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Social Proof
 Best-Selling Products ,Not Dark Pattern
 Subscribe! Don’t be caught empty handed ,Not Dark Pattern
 Add to Cart ,Not Dark Pattern
"Now 30% off - hurry limited time offer!",Urgency
The requested page could not be found,Not Dark Pattern
 View In Your Room ,Not Dark Pattern
 EVO SP All EVO SP parts and accessories ,Not Dark Pattern
 Circa Punches ,Not Dark Pattern
 Riding Culture Neue Lifestyle-Marke bei motoin ,Not Dark Pattern
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark Pattern
Green Tea is made up of properties that have been known to increase caloric expenditure as well as the metabolism of fat,Not Dark Pattern
Sparkling Elegance,Not Dark Pattern
"To add to Wishlist please register or sign in.",Not Dark Pattern
 New dishes In Lunch Boxes ,Not Dark Pattern
 Cayman Islands USD,Not Dark Pattern
"No Thanks I rather prefer paying full price",Misdirection
 View All Shoes ,Not Dark Pattern
Someone from Airdrie & 10820 others bought this item recently.,Social Proof
52 people are looking at this right now.,Social Proof
"estiven in Deer Park United States purchased PreWash 5 hours before",Social Proof
Delivery & Offers Terms  ,Not Dark Pattern
"Oscar from Cajamarca Peru purchased a new set of plates few hours ago",Social Proof
 New Arrivals,Not Dark Pattern
 Buy Tablets ,Not Dark Pattern
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,Not Dark Pattern
Point & Shoots,Not Dark Pattern
Already have an account?,Not Dark Pattern
" Mystic Topaz: Rings Earrings Necklaces and Bracelets ",Not Dark Pattern
Necessary  steps are to be taken for Protection..,Misdirection
What is a cookie?,Not Dark Pattern
Someone in Spain purchased below item a day ago ,Social Proof
View All Tops,Not Dark Pattern
02:06:40 left to buy this item for best price,Urgency
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),Social Proof
"NO THANKS I'll PAY FULL PRICE",Misdirection
13 people have added this item to their cart ,Social Proof
"Last chance! for this amazing offer Only 1 left",Scarcity
AccessoriesCar AccessoriesDressesFootwearHome & OfficeJacketsLawn & OutdoorsPantsPolosShirts & SweatersShortsSleepwear & UnderwearSwim CollectionTailgatingSale Items- View All -,Not Dark Pattern
Pay weekly ,Not Dark Pattern
"YOU MAY CANCEL YOUR WINE CLUB MEMBERSHIP OR ANY HOLIDAY SHIPMENTS AT ANY TIME BY CONTACTING US AT 1-877-975-9463 AND WE WILL PROMPTLY STOP PROCESSING THE RECURRING PAYMENTS.",Obstruction
I have green eyes and with these bright green contacts makes my eyes look out of this world amazing. I love them and they have lasted months!!,Not Dark Pattern
Sale ends soon. hurry! grab it now: ,Urgency
Only 16531 items left in stock!,Scarcity
Want a special deal? Bundle and SAVE UPTO30%,Misdirection
4 people have purchased this item,Social Proof
BABY BOYSShoesClothingAccessories,Not Dark Pattern
NEED ADDITIONAL HELP?,Not Dark Pattern
"These cookies are necessary for the website to function and cannot be switched off in our system. These cookies are usually only set in response to actions made by you which include a request for services such as setting your privacy preferences or logging into your account.",Not Dark Pattern
High-Waisted Shorts,Not Dark Pattern
 Sign In / Join ,Not Dark Pattern
We only have few stocks left for this product. Please don't miss the chance.,Scarcity
"Click here to use our website with more accessibility support for example screen readers",Not Dark Pattern
Your order is reserved for 09:35 minutes!,Urgency
LIMITED TIME ONLY *on select models,Urgency
BE QUICK 00:57:33 DON'T MISS OUT,Urgency
Remove selected car filter,Not Dark Pattern
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S,Urgency
Shipping and Duties,Not Dark Pattern
Order by these dates to get it by Valentine's Day.*,Not Dark Pattern
NFL Enterprises LLC. All Rights Reserved.,Not Dark Pattern
LOGIN/REGISTER,Misdirection
00Days 17Hours 12Mins 13Secs Hurry! ,Urgency
 Women's Bags ,Not Dark Pattern
"We're sorry, this store is closed.",Not Dark Pattern
3 people are looking at this item right now ,Social Proof
"Someone from Menlo Park California just purchased Electric Skateboard Motor 6374 190KV.",Social Proof
"Hurry Limited Time Offer! 11:25",Urgency
"touching funny and romantic",Not Dark Pattern
"We'd like to keep you informed via email about product updates upgrades special offers and pricing. If you do not wish to be contacted via email please ensure that the box is not checked.",Misdirection
Only 2 stock available with us,Scarcity
"◊After 1 year subscription auto renews with fee. Review your iFit® Coach account on a computer tablet smartphone or equipment console.",Sneaking
" Sorry we could not process your request at the moment. Please try again in a few minutes. ",Not Dark Pattern
My Account ,Not Dark Pattern
"No Thanks I Don't Want a Discount",Misdirection
Hair Grooming Appliances,Not Dark Pattern
"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you at our discretion further Directories usually in January and July each year at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.",Sneaking
Pedal Refresh Kit - Doubleshot,Not Dark Pattern
I'd rather pay full price ,Misdirection
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing ,Urgency
Subscribe & Save (15%): $ 16.99,Misdirection
